Order Date,Sales,Type,Category,Lower Bound,Upper Bound
2014-01-01,6242.525000000001,Actual,Furniture,,
2014-02-01,1839.658,Actual,Furniture,,
2014-03-01,14573.956,Actual,Furniture,,
2014-04-01,7944.8369999999995,Actual,Furniture,,
2014-05-01,6912.787,Actual,Furniture,,
2014-06-01,13206.1256,Actual,Furniture,,
2014-07-01,10821.051,Actual,Furniture,,
2014-08-01,7320.3465,Actual,Furniture,,
2014-09-01,23816.4808,Actual,Furniture,,
2014-10-01,12304.247,Actual,Furniture,,
2014-11-01,21564.8727,Actual,Furniture,,
2014-12-01,30645.9665,Actual,Furniture,,
2015-01-01,11739.9416,Actual,Furniture,,
2015-02-01,3134.374,Actual,Furniture,,
2015-03-01,12499.783,Actual,Furniture,,
2015-04-01,10475.6985,Actual,Furniture,,
2015-05-01,9374.950499999999,Actual,Furniture,,
2015-06-01,7714.179,Actual,Furniture,,
2015-07-01,13674.42,Actual,Furniture,,
2015-08-01,9638.5922,Actual,Furniture,,
2015-09-01,26273.023,Actual,Furniture,,
2015-10-01,12026.6235,Actual,Furniture,,
2015-11-01,30880.8325,Actual,Furniture,,
2015-12-01,23085.8192,Actual,Furniture,,
2016-01-01,7622.743,Actual,Furniture,,
2016-02-01,3925.551,Actual,Furniture,,
2016-03-01,12801.092,Actual,Furniture,,
2016-04-01,13212.09,Actual,Furniture,,
2016-05-01,15119.835000000001,Actual,Furniture,,
2016-06-01,13070.572,Actual,Furniture,,
2016-07-01,13068.519,Actual,Furniture,,
2016-08-01,12483.2323,Actual,Furniture,,
2016-09-01,27262.8809,Actual,Furniture,,
2016-10-01,11872.577000000001,Actual,Furniture,,
2016-11-01,31783.6288,Actual,Furniture,,
2016-12-01,36678.715,Actual,Furniture,,
2017-01-01,5964.032,Actual,Furniture,,
2017-02-01,6866.3374,Actual,Furniture,,
2017-03-01,10893.4448,Actual,Furniture,,
2017-04-01,9065.9581,Actual,Furniture,,
2017-05-01,16957.5582,Actual,Furniture,,
2017-06-01,19008.5867,Actual,Furniture,,
2017-07-01,11813.022,Actual,Furniture,,
2017-08-01,15441.874,Actual,Furniture,,
2017-09-01,29028.206000000002,Actual,Furniture,,
2017-10-01,21884.0682,Actual,Furniture,,
2017-11-01,37056.715000000004,Actual,Furniture,,
2017-12-01,31407.466800000002,Actual,Furniture,,
2018-01-01,10354.74512218624,Forecast,Furniture,3890.2113320126905,16702.2847862792
2018-02-01,9787.926778579604,Forecast,Furniture,4106.625088613041,16122.556948785314
2018-03-01,15052.094666009898,Forecast,Furniture,8906.254677460067,20733.133930887678
2018-04-01,15902.96952888065,Forecast,Furniture,10053.210980773358,22201.672404174704
2018-05-01,14566.418548196645,Forecast,Furniture,8031.680268913156,20545.737212233173
2018-06-01,18943.274848263613,Forecast,Furniture,12872.800186530403,24689.29245691966
2018-07-01,14920.42359848016,Forecast,Furniture,8677.869331302325,20945.711217723227
2018-08-01,16764.541399707152,Forecast,Furniture,10635.652123692385,23074.189736790915
2018-09-01,29159.391244798717,Forecast,Furniture,22394.146525125016,35477.80041526653
2018-10-01,20205.637146562905,Forecast,Furniture,13744.129392605995,26366.182077320067
2018-11-01,32724.514756751436,Forecast,Furniture,26824.192480803187,38750.329970051884
2018-12-01,36244.00461795878,Forecast,Furniture,30569.24929650209,42395.620263531135
2019-01-01,12120.58721733044,Forecast,Furniture,5795.506170444634,18186.762490960096
2019-02-01,11365.793089750803,Forecast,Furniture,5073.317075237347,17196.455470461846
2019-03-01,16668.60603092986,Forecast,Furniture,10579.907068853074,22858.750434051763
2019-04-01,17553.64342335411,Forecast,Furniture,11614.420872286457,23591.485178100367
2019-05-01,16198.730758490368,Forecast,Furniture,9957.69398075404,22249.078399059876
2019-06-01,20556.19749241459,Forecast,Furniture,14489.04376908012,26744.858522678973
2019-07-01,16630.626029037136,Forecast,Furniture,10348.751313351722,22766.965327974434
2019-08-01,18284.25889073266,Forecast,Furniture,12609.417345324187,24985.817500774745
2019-09-01,30804.57074862562,Forecast,Furniture,24408.18533589757,37079.52722129036
2019-10-01,21888.6677717327,Forecast,Furniture,15863.232822423242,28307.99362235907
2019-11-01,34191.014655772626,Forecast,Furniture,28175.569025572746,40271.85583077076
2019-12-01,38036.82893031109,Forecast,Furniture,32216.707684463887,44007.22915786695
2014-01-01,4851.08,Actual,Office Supplies,,
2014-02-01,1071.724,Actual,Office Supplies,,
2014-03-01,8605.879,Actual,Office Supplies,,
2014-04-01,11155.074,Actual,Office Supplies,,
2014-05-01,7135.624,Actual,Office Supplies,,
2014-06-01,12953.037,Actual,Office Supplies,,
2014-07-01,15121.208,Actual,Office Supplies,,
2014-08-01,11379.462,Actual,Office Supplies,,
2014-09-01,27423.298000000003,Actual,Office Supplies,,
2014-10-01,7211.128,Actual,Office Supplies,,
2014-11-01,26862.436,Actual,Office Supplies,,
2014-12-01,18006.462,Actual,Office Supplies,,
2015-01-01,1808.78,Actual,Office Supplies,,
2015-02-01,5368.067,Actual,Office Supplies,,
2015-03-01,15882.547,Actual,Office Supplies,,
2015-04-01,12558.558,Actual,Office Supplies,,
2015-05-01,9113.736,Actual,Office Supplies,,
2015-06-01,10647.747,Actual,Office Supplies,,
2015-07-01,4719.939,Actual,Office Supplies,,
2015-08-01,11735.108,Actual,Office Supplies,,
2015-09-01,19305.767,Actual,Office Supplies,,
2015-10-01,8673.41,Actual,Office Supplies,,
2015-11-01,21218.13,Actual,Office Supplies,,
2015-12-01,16201.673999999999,Actual,Office Supplies,,
2016-01-01,5299.682,Actual,Office Supplies,,
2016-02-01,6794.349999999999,Actual,Office Supplies,,
2016-03-01,17346.931,Actual,Office Supplies,,
2016-04-01,10647.447,Actual,Office Supplies,,
2016-05-01,13035.202,Actual,Office Supplies,,
2016-06-01,10901.81,Actual,Office Supplies,,
2016-07-01,12924.444,Actual,Office Supplies,,
2016-08-01,8959.74,Actual,Office Supplies,,
2016-09-01,23263.738,Actual,Office Supplies,,
2016-10-01,16281.794,Actual,Office Supplies,,
2016-11-01,20487.278,Actual,Office Supplies,,
2016-12-01,37997.566,Actual,Office Supplies,,
2017-01-01,21274.289,Actual,Office Supplies,,
2017-02-01,7407.772,Actual,Office Supplies,,
2017-03-01,14550.286,Actual,Office Supplies,,
2017-04-01,15072.190999999999,Actual,Office Supplies,,
2017-05-01,13736.964,Actual,Office Supplies,,
2017-06-01,16912.039,Actual,Office Supplies,,
2017-07-01,10241.468,Actual,Office Supplies,,
2017-08-01,30059.852,Actual,Office Supplies,,
2017-09-01,31895.843,Actual,Office Supplies,,
2017-10-01,23037.192,Actual,Office Supplies,,
2017-11-01,31472.337,Actual,Office Supplies,,
2017-12-01,30436.942,Actual,Office Supplies,,
2018-01-01,14247.521815999455,Forecast,Office Supplies,6303.185383264198,22908.477083128448
2018-02-01,12960.135845732868,Forecast,Office Supplies,4038.9501525996225,21744.3759478935
2018-03-01,19901.657051667284,Forecast,Office Supplies,11438.76606582582,27936.869410723946
2018-04-01,20087.871868217644,Forecast,Office Supplies,11463.849083830652,28331.371717497677
2018-05-01,16638.859143750356,Forecast,Office Supplies,7492.008838583488,25442.542849821435
2018-06-01,20538.03193806723,Forecast,Office Supplies,11103.40886666619,29930.981027080423
2018-07-01,16674.7775747024,Forecast,Office Supplies,8158.022812389614,25377.141113847974
2018-08-01,23140.371215322455,Forecast,Office Supplies,13909.596822371874,31532.210179225844
2018-09-01,31370.912471648484,Forecast,Office Supplies,22611.038999787677,39113.03160873417
2018-10-01,21521.373941364734,Forecast,Office Supplies,13495.222945954205,30189.689068408272
2018-11-01,30840.895571904068,Forecast,Office Supplies,21986.290057558468,39315.13839194372
